"","state.name","population.estimate.2011"
"1","Alabama",4801108
"2","Alaska",722720
"3","Arizona",6468732
"4","Arkansas",2938538
"5","California",37700034
"6","Colorado",5119480
"7","Connecticut",3589759
"8","Delaware",907916
"9","District of Columbia",620472
"10","Florida",19105533
"11","Georgia",9812280
"12","Hawaii",1378227
"13","Idaho",1584134
"14","Illinois",12861882
"15","Indiana",6516845
"16","Iowa",3065389
"17","Kansas",2869917
"18","Kentucky",4367882
"19","Louisiana",4575381
"20","Maine",1328257
"21","Maryland",5844171
"22","Massachusetts",6611797
"23","Michigan",9876589
"24","Minnesota",5348119
"25","Mississippi",2977999
"26","Missouri",6010587
"27","Montana",997746
"28","Nebraska",1842383
"29","Nevada",2718819
"30","New Hampshire",1318344
"31","New Jersey",8842934
"32","New Mexico",2078226
"33","New York",19523202
"34","North Carolina",9651025
"35","North Dakota",685326
"36","Ohio",11545442
"37","Oklahoma",3786626
"38","Oregon",3868509
"39","Pennsylvania",12745202
"40","Rhode Island",1051856
"41","South Carolina",4672733
"42","South Dakota",824289
"43","Tennessee",6398408
"44","Texas",25654464
"45","Utah",2816440
"46","Vermont",626687
"47","Virginia",8110783
"48","Washington",6823229
"49","West Virginia",1854948
"50","Wisconsin",5709720
"51","Wyoming",567768
